id,name,addr,lat,lng,sport,format,capacity,surface,access,reserveUrl,montrealUrl,photo_url,status,reserved_slots,notes
MTL1,Miniterrain de soccer Saint-Alexandre,"1205 rue Saint Alexandre, Montréal (Québec)",45.50502,-73.566628,soccer,5v5,10,Béton,Accès libre,,https://montreal.ca/lieux/miniterrain-de-soccer-saint-alexandre,MTL1.png,libre,,NA
MTL2,Terrain de soccer du parc Ignace-Bourget,"5925, avenue de Montmagny, Montréal (Québec) H4E 2V6",45.454862,-73.604644,soccer,"11v11, 9v9, 7v7",22,Gazon,Réservable,mailto:reservation-multisports@asbm.ca,https://montreal.ca/lieux/terrain-de-soccer-du-parc-ignace-bourget,MTL2.png,libre,"Lun,18:00,21:00,2026-05-17,2026-09-17,occupe,Réservé — ASSOM|Mer,18:00,21:00,2026-05-17,2026-09-17,occupe,Réservé — ASSOM|Jeu,18:30,21:00,2026-05-17,2026-09-17,occupe,Réservé — ASSOM|Ven,18:30,21:00,2026-05-17,2026-09-17,occupe,Réservé — ASSOM|Mar,18:00,20:00,2026-05-17,2026-09-30,occupe,Réservé — Montréal Futsal Club|Sam,08:00,10:00,2026-05-17,2026-09-30,occupe,Réservé — Montréal Futsal Club","Reservé: ASSOM
Activités de soccer du 17 mai au 17 septembre les lundis 18h à 21h, les mercredis 18h à 21h, les jeudis 18 h 30 à 21 h les vendredis 18h 30 à 21h.
Reservé: Montréal Futsal Club
Activité de futsal du 17 mai au 30 septembre les mardis 18h à 20h, les samedis de 8h à 10h.
Libre: Jeudi: 16 h 00 à 18 h 00, Vendredi: 17 h 00 à 18 h 00, Samedi:10 h 00 à 14 h 00"
MTL3,Terrain de soccer du parc La Fontaine,"1450 Rue Rachel E, Montréal, QC H2J 2K3",45.528922,-73.568975,soccer,7v7,14,Synthétique,Réservable,mailto:reservation-multisports@asbm.ca,https://montreal.ca/lieux/terrain-de-soccer-du-parc-la-fontaine,MTL3.png,libre,"Lun,17:00,20:00,,,libre,Jeu libre — enfants/jeunes|Mer,17:00,20:00,,,libre,Jeu libre — enfants/jeunes|Ven,17:00,20:00,,,libre,Jeu libre — enfants/jeunes|Sam,17:00,20:00,,,libre,Jeu libre — enfants/jeunes|Lun-Dim,09:00,17:00,,,signale,Priorité aux permis — enfants/jeunes|Mar,17:00,20:00,,,signale,Priorité aux permis — enfants/jeunes|Jeu,17:00,20:00,,,signale,Priorité aux permis — enfants/jeunes|Mer,20:00,23:00,,,libre,Jeu libre — adultes|Ven,20:00,23:00,,,libre,Jeu libre — adultes|Sam,20:00,23:00,,,libre,Jeu libre — adultes|Lun,20:00,23:00,,,signale,Priorité aux permis — adultes|Mar,20:00,23:00,,,signale,Priorité aux permis — adultes|Jeu,20:00,23:00,,,signale,Priorité aux permis — adultes|Dim,20:00,23:00,,,signale,Priorité aux permis — adultes","Ouvert de 7h à 23h tous les jours avec jeu libre
Pour les enfants et les jeunes
Jeu libre seulement (aucune réservation) : les lundis, mercredis, vendredis et samedis, de 17 h à 20 h.
Jeu libre ou organisé (priorité aux permis) : du lundi au dimanche de 9 h à 17 h, ainsi que les mardis et jeudis de 17 h à 20 h.
Camps de jour : les camps de jour estivaux et les organismes détenant un permis ont toujours la priorité sur le terrain le jour. Si le terrain est libre, vous pouvez l'utiliser.
Pour les adultes
Jeu libre seulement (aucune réservation) : les mercredis, vendredis et samedis, de 20 h à 23 h.
Jeu libre ou organisé (priorité aux permis) : les lundis, mardis, jeudis et dimanches, de 20 h à 23 h. Les ligues et organismes détenant un permis ont la priorité lors de ces plages horaires."
MTL4,Terrain de soccer du parc Sir-Wilfrid-Laurier,"Avenue Laurier Est, Montréal, QC H2J 3L8",45.533083,-73.588639,soccer,,,Gazon,Réservable,mailto:reservation-multisports@asbm.ca,https://montreal.ca/lieux/terrain-de-soccer-du-parc-sir-wilfrid-laurier,MTL4.png,libre,"Mar,16:00,18:00,,,signale,Priorité jeunes du quartier|Mer,16:00,18:00,,,signale,Priorité jeunes du quartier|Jeu,16:00,18:00,,,signale,Priorité jeunes du quartier|Sam,16:00,19:00,,,signale,Priorité jeunes du quartier|Jeu,18:00,22:00,,,libre,Jeu libre — tous|Sam,19:00,22:00,,,libre,Jeu libre — tous|Dim,12:00,18:00,,,libre,Jeu libre — tous","Priorité aux jeunes
Pendant ces plages horaires, le terrain est réservé en priorité aux jeunes du quartier :
Les mardis, mercredis et jeudis, de 16 h à 18 h.
Les samedis, de 16 h à 19 h.
Pratique libre pour toutes et tous
Ces périodes sont ouvertes à l'ensemble de la population pour du jeu libre :
Les jeudis, de 18 h à 22 h.
Les samedis, de 19 h à 22 h.
Les dimanches, de 12 h à 18 h.
Rappel : en tout temps, les groupes ou organismes qui détiennent un permis officiel ont la priorité sur le terrain."
MTL5,Terrain de soccer du parc Toussaint-Louverture,"260 Boul. de Maisonneuve E, Montréal, QC H2X 1J7",45.512313,-73.564326,soccer,7v7,14,Synthétique,Réservable,mailto:reservation-multisports@asbm.ca,https://montreal.ca/lieux/terrain-de-soccer-du-parc-toussaint-louverture,MTL5.png,libre,,Selon calendrier en ligne partagé https://calendar.splextech.com/?locale=FR&configurationId=80e98e2b-0093-46bf-a978-ef6ad071bd53&regionId=0aac6b51-e5cf-41ad-b359-d088d787797a&surfaceId=2ca94346-b1b7-4d89-9854-6ccfb660e2a5&initialDate=2026-08-17
MTL6,Stade de soccer de Montréal,"9235 Av. Papineau, Montréal, QC H2M 2C9",45.563235,-73.638156,soccer,"11v11, 9v9, 7v7",22,Synthétique,Réservation obligatoire,mailto:stadedesoccer@montreal.ca,https://montreal.ca/lieux/stade-de-soccer-de-montreal,,libre,,"Lundi
15 h 30 à 23 h 00
Mardi
15 h 30 à 23 h 00
Mercredi
15 h 30 à 23 h 00
Jeudi
15 h 30 à 23 h 00
Vendredi
15 h 30 à 23 h 00
Samedi
8 h 00 à 23 h 30
Dimanche
8 h 00 à 23 h 00"
MTL7,Dôme Hébert,"7655, rue Colbert, Montréal (Québec) H1S 2Y7",45.574019,-73.592999,soccer,,,Synthétique,Réservation obligatoire,tel:+15147292708,https://montreal.ca/lieux/dome-hebert,,libre,,Horaire non indiqué sur la fiche. Vérifier la disponibilité auprès du Stade Hébert.
MTL8,Stade Hébert,"7655, rue Colbert, Montréal (Québec) H1S 2Y7",45.574019,-73.592999,soccer,,,Synthétique,Réservation obligatoire,tel:+15147292708,https://montreal.ca/lieux/stade-hebert,,libre,,Horaire non indiqué sur la fiche. Réservation d’une plage horaire par téléphone.
MTL9,Terrain de soccer du complexe sportif de Saint-Laurent,"2385, boulevard Thimens, Montréal (Québec) H4R 1T4",45.507776,-73.703346,soccer,,,Synthétique,Réservation obligatoire,https://loisirs.montreal.ca/IC3/#/U2010,https://montreal.ca/lieux/terrain-de-soccer-du-complexe-sportif-de-saint-laurent,,libre,,"Horaire pour la période du 9 janvier 2026 au 8 mai 2027
Pour les jeunes (de 12 à 17 ans)
Vendredi	16 h 00 à 17 h 55
Samedi	16 h 30 à 17 h 55"
MTL10,Terrain de soccer du parc Adrien-D.-Archambault,"1000, boulevard de la Forêt, Montréal (Québec) H3E 1X9",45.455827,-73.557595,soccer,,,Gazon,Réservable,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-adrien-d-archambault,,libre,,9 h–23 h; priorité aux permis
MTL11,Terrain de soccer du parc Alexander,"14899, rue Oakwood, Montréal (Québec) H9H 1Y1",45.475496,-73.857433,soccer,11v11,22,Gazon,Accès libre,,https://montreal.ca/lieux/terrain-de-soccer-du-parc-alexander,,libre,,6 h–23 h; accès si aucune activité
MTL12,Terrain de soccer du parc André-Laurendeau,"8361, avenue André-Laurendeau, Montréal (Québec) H1J 2H5",45.605347,-73.571327,soccer,"5v5, 7v7",14,Gazon,Réservable,mailto:loisirs.anjou@montreal.ca,https://montreal.ca/lieux/terrain-de-soccer-du-parc-andre-laurendeau,,libre,,2x 5v5 + 2x 7v7; priorité aux permis
